AWSEnvironmentPromotion.md	platform-and-cloud-infrastructure	ci-cd-and-release-pipelines
AWSFailureRecovery.md	platform-and-cloud-infrastructure	cloud-and-kubernetes-operations
AWSIncidentTriage.md	platform-and-cloud-infrastructure	cloud-and-kubernetes-operations
AWSObservabilityDesign.md	platform-and-cloud-infrastructure	cloud-and-kubernetes-operations
AWSPolicyAutomation.md	platform-and-cloud-infrastructure	cloud-and-kubernetes-operations
AWSSecretsManagement.md	security-and-trust	secrets-and-key-management
AbuseDefenseAttackSimulation.md	security-and-trust	abuse-and-fraud-defense
AbuseDefenseControlArchitecture.md	security-and-trust	abuse-and-fraud-defense
AbuseDefenseDetectionEngineering.md	security-and-trust	abuse-and-fraud-defense
AbuseDefenseEvidenceHandling.md	security-and-trust	abuse-and-fraud-defense
AbuseDefenseExceptionGovernance.md	security-and-trust	abuse-and-fraud-defense
AbuseDefenseHardeningBaselines.md	security-and-trust	abuse-and-fraud-defense
AbuseDefenseKeyManagement.md	security-and-trust	abuse-and-fraud-defense
AbuseDefenseResponsePlaybooks.md	security-and-trust	abuse-and-fraud-defense
AbuseDefenseSecureDefaults.md	security-and-trust	abuse-and-fraud-defense
AbuseDefenseVerificationFlows.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingBlastRadiusNotes.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingControlCoverage.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingEscalationMatrices.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingEvidenceRetention.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingExceptionExpiry.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingPolicyDiffs.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingRecoveryProofs.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingReviewerRouting.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingSignalCorrelation.md	security-and-trust	abuse-and-fraud-defense
AbusePatternLabelingTamperResistance.md	security-and-trust	abuse-and-fraud-defense
AbusePreventionSystems.md	security-and-trust	abuse-and-fraud-defense
AbuseTriageAnalysis.md	security-and-trust	abuse-and-fraud-defense
AbuseTriageAutomation.md	security-and-trust	abuse-and-fraud-defense
AbuseTriageDesign.md	security-and-trust	abuse-and-fraud-defense
AbuseTriageDiagnostics.md	security-and-trust	abuse-and-fraud-defense
AbuseTriageGovernance.md	security-and-trust	abuse-and-fraud-defense
AbuseTriageOperations.md	security-and-trust	abuse-and-fraud-defense
AbuseTriageOptimization.md	security-and-trust	abuse-and-fraud-defense
AbuseTriagePlanning.md	security-and-trust	abuse-and-fraud-defense
AbuseTriageReview.md	security-and-trust	abuse-and-fraud-defense
AbuseTriageStrategy.md	security-and-trust	abuse-and-fraud-defense
AccessControlDesign.md	security-and-trust	identity-and-access
AccessReviewAutomationBlastRadiusNotes.md	security-and-trust	identity-and-access
AccessReviewAutomationControlCoverage.md	security-and-trust	identity-and-access
AccessReviewAutomationEscalationMatrices.md	security-and-trust	identity-and-access
AccessReviewAutomationEvidenceRetention.md	security-and-trust	identity-and-access
AccessReviewAutomationExceptionExpiry.md	security-and-trust	identity-and-access
AccessReviewAutomationPolicyDiffs.md	security-and-trust	identity-and-access
AccessReviewAutomationRecoveryProofs.md	security-and-trust	identity-and-access
AccessReviewAutomationReviewerRouting.md	security-and-trust	identity-and-access
AccessReviewAutomationSignalCorrelation.md	security-and-trust	identity-and-access
AccessReviewAutomationTamperResistance.md	security-and-trust	identity-and-access
Accessibility.md	frontend-and-user-experience	accessibility
AccessibilityAudit.md	frontend-and-user-experience	accessibility
AccessibilityAuditFixes.md	frontend-and-user-experience	accessibility
AccessibilityDesignComponentPatterns.md	frontend-and-user-experience	accessibility
AccessibilityDesignContentDesign.md	frontend-and-user-experience	accessibility
AccessibilityDesignCritiqueFrameworks.md	frontend-and-user-experience	accessibility
AccessibilityDesignEdgeStateDesign.md	frontend-and-user-experience	accessibility
AccessibilityDesignHandoffSpecifications.md	frontend-and-user-experience	accessibility
AccessibilityDesignMeasurementPlans.md	frontend-and-user-experience	accessibility
AccessibilityDesignReviewChecklists.md	frontend-and-user-experience	accessibility
AccessibilityDesignUsabilityTesting.md	frontend-and-user-experience	accessibility
AccessibilityDesignUserFlows.md	frontend-and-user-experience	accessibility
AccessibilityDesignVisualHierarchy.md	frontend-and-user-experience	accessibility
AccessibilityRegressionAnalysis.md	frontend-and-user-experience	accessibility
AccessibilityRegressionAutomation.md	frontend-and-user-experience	accessibility
AccessibilityRegressionDesign.md	frontend-and-user-experience	accessibility
AccessibilityRegressionDiagnostics.md	frontend-and-user-experience	accessibility
AccessibilityRegressionGovernance.md	frontend-and-user-experience	accessibility
AccessibilityRegressionOperations.md	frontend-and-user-experience	accessibility
AccessibilityRegressionOptimization.md	frontend-and-user-experience	accessibility
AccessibilityRegressionPlanning.md	frontend-and-user-experience	accessibility
AccessibilityRegressionReview.md	frontend-and-user-experience	accessibility
AccessibilityRegressionStrategy.md	frontend-and-user-experience	accessibility
AccessibilityRemediationAccessibilityProofs.md	frontend-and-user-experience	accessibility
AccessibilityRemediationDeviceCoverage.md	frontend-and-user-experience	accessibility
AccessibilityRemediationEdgeStateMatrices.md	frontend-and-user-experience	accessibility
AccessibilityRemediationFailureRecovery.md	frontend-and-user-experience	accessibility
AccessibilityRemediationHandoffSpecs.md	frontend-and-user-experience	accessibility
AccessibilityRemediationInteractionLatency.md	frontend-and-user-experience	accessibility
AccessibilityRemediationRegressionScreens.md	frontend-and-user-experience	accessibility
AccessibilityRemediationStateBoundaries.md	frontend-and-user-experience	accessibility
AccessibilityRemediationTestObservability.md	frontend-and-user-experience	accessibility
AccessibilityRemediationVisualContracts.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringDesign.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringDiagnostics.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringGovernance.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringOperations.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringOptimization.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringPlanning.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringPlaybook.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringReliability.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringReview.md	frontend-and-user-experience	accessibility
AccessibilityRiskScoringStrategy.md	frontend-and-user-experience	accessibility
AccessibilityTesting.md	testing-and-quality-assurance	browser-and-end-to-end-testing
AccessibilityUXContentHierarchy.md	frontend-and-user-experience	accessibility
AccessibilityUXDecisionClarity.md	frontend-and-user-experience	accessibility
AccessibilityUXEdgeStateCoverage.md	frontend-and-user-experience	accessibility
AccessibilityUXExperimentAnnotations.md	frontend-and-user-experience	accessibility
AccessibilityUXHandoffSpecs.md	frontend-and-user-experience	accessibility
AccessibilityUXHeuristicReviews.md	frontend-and-user-experience	accessibility
AccessibilityUXMeasurementPlans.md	frontend-and-user-experience	accessibility
AccessibilityUXRecoveryPatterns.md	frontend-and-user-experience	accessibility
AccessibilityUXStateMapping.md	frontend-and-user-experience	accessibility
AccessibilityUXUsabilitySignals.md	frontend-and-user-experience	accessibility
AccountHealthMonitoringEscalationProofs.md	customer-and-revenue-operations	customer-success-and-retention
AccountHealthMonitoringFollowupCadence.md	customer-and-revenue-operations	customer-success-and-retention
AccountHealthMonitoringKnowledgeReuse.md	customer-and-revenue-operations	customer-success-and-retention
AccountHealthMonitoringOutcomeTracking.md	customer-and-revenue-operations	customer-success-and-retention
AccountHealthMonitoringResponseTemplates.md	customer-and-revenue-operations	customer-success-and-retention
AccountHealthMonitoringRiskFlags.md	customer-and-revenue-operations	customer-success-and-retention
AccountHealthMonitoringSegmentationRules.md	customer-and-revenue-operations	customer-success-and-retention
AccountHealthMonitoringSignalInterpretation.md	customer-and-revenue-operations	customer-success-and-retention
AccountHealthMonitoringStakeholderMapping.md	customer-and-revenue-operations	customer-success-and-retention
AccountHealthMonitoringWorkflowSequencing.md	customer-and-revenue-operations	customer-success-and-retention
ActivationMilestoneDesignAnalyticsAnnotations.md	product-growth-and-marketing	onboarding-activation-and-retention
ActivationMilestoneDesignAudienceSegmentation.md	product-growth-and-marketing	onboarding-activation-and-retention
ActivationMilestoneDesignCohortReadouts.md	product-growth-and-marketing	onboarding-activation-and-retention
ActivationMilestoneDesignConversionDiagnostics.md	product-growth-and-marketing	onboarding-activation-and-retention
ActivationMilestoneDesignCopyTesting.md	product-growth-and-marketing	onboarding-activation-and-retention
ActivationMilestoneDesignHypothesisRanking.md	product-growth-and-marketing	onboarding-activation-and-retention
ActivationMilestoneDesignOfferFraming.md	product-growth-and-marketing	onboarding-activation-and-retention
ActivationMilestoneDesignOutcomeAttribution.md	product-growth-and-marketing	onboarding-activation-and-retention
ActivationMilestoneDesignRolloutSequencing.md	product-growth-and-marketing	onboarding-activation-and-retention
ActivationMilestoneDesignVariantSafeguards.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalCommsPlans.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalDependencyReviews.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalEscalationPaths.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalLearningLoops.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalMetricSelection.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalOutcomeInterpretation.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalPostLaunchCadence.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalReadinessGates.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalRiskNarratives.md	product-growth-and-marketing	onboarding-activation-and-retention
AdoptionBarrierRemovalSegmentLogic.md	product-growth-and-marketing	onboarding-activation-and-retention
AgentCoordinationCostBudgets.md	ai-and-agent-systems	agents-and-tool-use
AgentCoordinationExperimentTracking.md	ai-and-agent-systems	agents-and-tool-use
AgentCoordinationFailureTaxonomy.md	ai-and-agent-systems	agents-and-tool-use
AgentCoordinationHumanEscalation.md	ai-and-agent-systems	agents-and-tool-use
AgentCoordinationLatencyControl.md	ai-and-agent-systems	agents-and-tool-use
AgentCoordinationPolicyEnforcement.md	ai-and-agent-systems	agents-and-tool-use
AgentCoordinationQualityThresholds.md	ai-and-agent-systems	agents-and-tool-use
AgentCoordinationRolloutStages.md	ai-and-agent-systems	agents-and-tool-use
AgentCoordinationTaskContracts.md	ai-and-agent-systems	agents-and-tool-use
AgentCoordinationTraceAnalysis.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryAnalysis.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryAutomation.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryDesign.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryDiagnostics.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryGovernance.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryOperations.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryOptimization.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryPlanning.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairComparisonRuns.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairEscalationRules.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairFailureLabels.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairHumanOverride.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairPromptVersioning.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairQualityGates.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairSafetyThresholds.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairTaskContracts.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairToolReliability.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryRepairTraceReview.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryReview.md	ai-and-agent-systems	agents-and-tool-use
AgentMemoryStrategy.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesDesign.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesDiagnostics.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesGovernance.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesOperations.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesOptimization.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesPlanning.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesPlaybook.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesReliability.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesReview.md	ai-and-agent-systems	agents-and-tool-use
AgentStateMachinesStrategy.md	ai-and-agent-systems	agents-and-tool-use
AgentsCostControl.md	ai-and-agent-systems	agents-and-tool-use
AgentsDataContracts.md	ai-and-agent-systems	agents-and-tool-use
AgentsEvaluationRubrics.md	ai-and-agent-systems	agents-and-tool-use
AgentsExperimentTracking.md	ai-and-agent-systems	agents-and-tool-use
AgentsFailureAnalysis.md	ai-and-agent-systems	agents-and-tool-use
AgentsHumanReviewLoops.md	ai-and-agent-systems	agents-and-tool-use
AgentsLatencyBudgets.md	ai-and-agent-systems	agents-and-tool-use
AgentsProductionRollouts.md	ai-and-agent-systems	agents-and-tool-use
AgentsSafetyDesign.md	ai-and-agent-systems	agents-and-tool-use
AgentsToolReliability.md	ai-and-agent-systems	agents-and-tool-use
AgileRetrospectives.md	product-and-project-management	planning-cadence-and-delivery
AgileSprintPlanning.md	product-and-project-management	planning-cadence-and-delivery
AirflowAccessPatterns.md	data-platform-and-analytics	pipelines-and-ingestion
AirflowConsistencyRules.md	data-platform-and-analytics	pipelines-and-ingestion
AirflowCostGuardrails.md	data-platform-and-analytics	pipelines-and-ingestion
AirflowDataModelGrain.md	data-platform-and-analytics	pipelines-and-ingestion
AirflowDataObservability.md	data-platform-and-analytics	pipelines-and-ingestion
AirflowMigrationCutovers.md	data-platform-and-analytics	pipelines-and-ingestion
AirflowQueryProfiling.md	data-platform-and-analytics	pipelines-and-ingestion
AirflowReplicationRecovery.md	data-platform-and-analytics	pipelines-and-ingestion
AirflowSchemaEvolution.md	data-platform-and-analytics	pipelines-and-ingestion
AirflowSecurityControls.md	security-and-trust	secrets-and-key-management
AlgorithmDesign.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsAPIDesign.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsArchitecturePatterns.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsDebuggingTactics.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsFailureAnalysis.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsMemorySafety.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsOptimizationPlaybooks.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsPerformanceModels.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsStateMachines.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsTestStrategies.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsToolingWorkflows.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchAPIDesign.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchArchitecturePatterns.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchDebuggingTactics.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchFailureAnalysis.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchMemorySafety.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchOptimizationPlaybooks.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchPerformanceModels.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchStateMachines.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchTestStrategies.md	software-engineering-craft	algorithms-and-fundamentals
AlgorithmsWorkbenchToolingWorkflows.md	software-engineering-craft	algorithms-and-fundamentals
AnalyticalSLAEngineeringDesign.md	data-platform-and-analytics	metrics-and-analytics
AnalyticalSLAEngineeringDiagnostics.md	data-platform-and-analytics	metrics-and-analytics
AnalyticalSLAEngineeringGovernance.md	data-platform-and-analytics	metrics-and-analytics
AnalyticalSLAEngineeringOperations.md	data-platform-and-analytics	metrics-and-analytics
AnalyticalSLAEngineeringOptimization.md	data-platform-and-analytics	metrics-and-analytics
AnalyticalSLAEngineeringPlanning.md	data-platform-and-analytics	metrics-and-analytics
AnalyticalSLAEngineeringPlaybook.md	data-platform-and-analytics	metrics-and-analytics
AnalyticalSLAEngineeringReliability.md	data-platform-and-analytics	metrics-and-analytics
AnalyticalSLAEngineeringReview.md	data-platform-and-analytics	metrics-and-analytics
AnalyticalSLAEngineeringStrategy.md	data-platform-and-analytics	metrics-and-analytics
AnalyticsInstrumentationPlanning.md	data-platform-and-analytics	metrics-and-analytics
AndroidDevelopment.md	mobile-and-desktop-apps	native-and-desktop-development
AndroidLifecycleRepairBuildSigning.md	mobile-and-desktop-apps	release-and-app-store-delivery
AndroidLifecycleRepairCrashClustering.md	mobile-and-desktop-apps	release-and-app-store-delivery
AndroidLifecycleRepairDeviceMatrices.md	mobile-and-desktop-apps	release-and-app-store-delivery
AndroidLifecycleRepairPermissionFlows.md	mobile-and-desktop-apps	release-and-app-store-delivery
AndroidLifecycleRepairRollbackChannels.md	mobile-and-desktop-apps	release-and-app-store-delivery
AndroidLifecycleRepairStoreReadiness.md	mobile-and-desktop-apps	release-and-app-store-delivery
AndroidLifecycleRepairSyncConflictRules.md	mobile-and-desktop-apps	release-and-app-store-delivery
AndroidLifecycleRepairTelemetrySignals.md	mobile-and-desktop-apps	release-and-app-store-delivery
AndroidLifecycleRepairUpgradeSafety.md	mobile-and-desktop-apps	release-and-app-store-delivery
AndroidLifecycleRepairUserRecovery.md	mobile-and-desktop-apps	release-and-app-store-delivery
AngularAccessibilityFlows.md	frontend-and-user-experience	accessibility
AngularBuildPipelines.md	frontend-and-user-experience	frontend-frameworks-and-performance
AngularComponentTesting.md	frontend-and-user-experience	frontend-frameworks-and-performance
AngularDesignSystemAdoption.md	frontend-and-user-experience	frontend-frameworks-and-performance
AngularErrorRecoveryUX.md	frontend-and-user-experience	frontend-frameworks-and-performance
AngularFormSystems.md	frontend-and-user-experience	frontend-frameworks-and-performance
AngularHydrationRecovery.md	frontend-and-user-experience	frontend-frameworks-and-performance
AngularRenderingPerformance.md	frontend-and-user-experience	frontend-frameworks-and-performance
AngularRoutingBoundaries.md	frontend-and-user-experience	frontend-frameworks-and-performance
AngularStateArchitecture.md	frontend-and-user-experience	frontend-frameworks-and-performance
AnimationMotionDesign.md	frontend-and-user-experience	design-systems-and-visual-design
AnnotationGuidelineOpsAnnotationDisputes.md	ai-and-agent-systems	evaluation-and-labeling
AnnotationGuidelineOpsDeploymentGates.md	ai-and-agent-systems	evaluation-and-labeling
AnnotationGuidelineOpsErrorBuckets.md	ai-and-agent-systems	evaluation-and-labeling
AnnotationGuidelineOpsFeedbackIngestion.md	ai-and-agent-systems	evaluation-and-labeling
AnnotationGuidelineOpsGoldSetCuration.md	ai-and-agent-systems	evaluation-and-labeling
AnnotationGuidelineOpsModelCardSignals.md	ai-and-agent-systems	evaluation-and-labeling
AnnotationGuidelineOpsMonitoringCadence.md	ai-and-agent-systems	evaluation-and-labeling
AnnotationGuidelineOpsSamplingStrategies.md	ai-and-agent-systems	evaluation-and-labeling
AnnotationGuidelineOpsSliceAnalysis.md	ai-and-agent-systems	evaluation-and-labeling
AnnotationGuidelineOpsThresholdPolicies.md	ai-and-agent-systems	evaluation-and-labeling
AppStoreOptimization.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreReviewResponse.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsBuildSigning.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsCrashClustering.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsDeviceMatrices.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsPermissionFlows.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsRollbackChannels.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsStoreReadiness.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsSyncConflictRules.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsTelemetrySignals.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsUpgradeSafety.md	mobile-and-desktop-apps	release-and-app-store-delivery
AppStoreSubmissionOpsUserRecovery.md	mobile-and-desktop-apps	release-and-app-store-delivery
ApplicationPerformanceMonitoring.md	reliability-and-incident-response	observability-and-slos
ApplicationSecurity.md	security-and-trust	attack-defense-and-hardening
ApplicationSecurityAttackSimulation.md	security-and-trust	attack-defense-and-hardening
ApplicationSecurityControlArchitecture.md	security-and-trust	attack-defense-and-hardening
ApplicationSecurityDetectionEngineering.md	security-and-trust	attack-defense-and-hardening
ApplicationSecurityEvidenceHandling.md	security-and-trust	attack-defense-and-hardening
ApplicationSecurityExceptionGovernance.md	security-and-trust	attack-defense-and-hardening
ApplicationSecurityHardeningBaselines.md	security-and-trust	attack-defense-and-hardening
ApplicationSecurityKeyManagement.md	security-and-trust	attack-defense-and-hardening
ApplicationSecurityResponsePlaybooks.md	security-and-trust	attack-defense-and-hardening
ApplicationSecuritySecureDefaults.md	security-and-trust	attack-defense-and-hardening
ApplicationSecurityVerificationFlows.md	security-and-trust	attack-defense-and-hardening
ArchitecturalPatterns.md	backend-and-api-engineering	service-architecture-and-decomposition
ArchitectureDecisionRecords.md	product-and-project-management	decisions-rfcs-and-memos
ArchitectureFitnessFunctionsDesign.md	backend-and-api-engineering	service-architecture-and-decomposition
